output_idx,MAE,RMSE,R2
0,0.0027706017337645883,0.0056565251802490986,0.8789836376655572
1,0.006397282888261348,0.01196389866146075,0.9063538907949669
2,0.009640315743385648,0.015902792823326423,0.955290831344652
3,0.016991116296400557,0.024203290821402695,0.9777243333387645
4,0.028676484218663312,0.037603941268505796,0.9899990756887543
5,0.04407687704646102,0.057666623451417966,0.9933287761417402
6,0.061177055624327105,0.07911918691810271,0.9935955789218786
7,0.0800535500909433,0.10326560818507984,0.9917129217265265
8,0.09929291199690478,0.1275693074728085,0.9855631646854097
9,0.11475750846917594,0.14805599446396941,0.9821972208423198
10,0.12555295114886053,0.16318849911150593,0.978828373194807
11,0.13429833115695858,0.17486858159611643,0.9759975281918529
12,0.140221574525634,0.18275028849522204,0.971289989108013
13,0.15165756978674155,0.19735876792000193,0.9624092918162991
14,0.1688651954452549,0.21964990312380905,0.9372555290882545
15,0.20648592740169033,0.27343406805067055,0.8687520852583369
16,0.2560069844127636,0.3784103929340305,0.73435345563469
17,0.4451206149000761,0.7553558923961575,0.3687306986012349
18,0.781105229193102,1.4163618364132333,0.13474593768854545
19,1.0536732746723443,1.941421158195783,0.15373543853782015
20,1.1462109896425983,2.186196381859482,0.18819307212910363
21,1.3330623119786063,2.464122269717899,0.12529926983900783
22,1.4269858362653274,2.7027849374018165,0.21566807866022444
23,1.5333766206125956,2.8673371935504175,0.30368861665577784
24,1.7274135805687922,3.1927670543116107,0.3414511738652717
25,1.8833016118148163,3.430549737724967,0.41166985311962856
26,2.0611844646670545,3.672761611752398,0.4674244221836286
27,2.269794911552235,3.999754531367881,0.46880913899673143
28,2.444938955116126,4.363992643996059,0.5470116296599078
29,2.7271367504865225,4.904576830694837,0.6040476951343204
30,3.0445036046123177,5.5317363467015355,0.6294283543682742
31,3.3652129470187955,6.2352220457101915,0.6453065210973056
32,3.7471450512896376,7.002095637788639,0.6354746890147646
33,4.1218067310790945,7.707405505433485,0.6349067560645257
34,4.510084547721987,8.472333664992854,0.6243467042510932
35,4.9406926925116315,9.182948648446626,0.6030730970820238
36,5.261703721277085,9.763880848825444,0.5955690279175134
37,5.601554748710882,10.228693740602965,0.5729693401739085
38,5.933765892197378,10.5908268214877,0.541554225598413
39,6.0903998575584,10.74711080961012,0.5064854698584802
40,6.216720956834464,10.705006854362376,0.4777908418366885
41,6.275117030466991,10.518596455682632,0.4493050269417833
42,6.3896039194607726,10.28757823719015,0.42047927435077276
43,6.371483431836865,10.050203828613606,0.40677100099405133
44,6.356428012576672,9.810930499643012,0.3905054828833015
45,6.296965528240816,9.498262934291887,0.36867319561686046
46,6.14697550479982,9.084674580905142,0.3615185437238518
47,5.8932816245303234,8.568529352627714,0.34620604562007323
48,5.496010959833533,7.942125695075982,0.3376777818404461
49,5.040156130104374,7.272380128058256,0.3362218389700901
50,4.642345028284057,6.680220017083229,0.33092227356088816
51,4.2900052229272925,6.152695115799937,0.32429138719461453
52,3.9982173090239446,5.742788651103424,0.31884397122258074
53,3.7184897198354,5.380611333679789,0.32766995416443645
54,3.5142710360283402,5.1306329964678365,0.324224711051615
55,3.388783785245591,5.0077693226495255,0.3111661496909263
56,3.2795916694891574,4.928358651525771,0.3246453321708185
57,3.250953614856707,4.940052030207503,0.34268997172399246
58,3.358212322915944,5.110488841767142,0.3891968138301805
59,3.8835096571721603,5.823804945545269,0.5849181447950814
60,7.297930221199894e-06,9.664501343819833e-06,-inf
61,8.292387945404855e-06,1.064398074398223e-05,-inf
62,5.7321281812493896e-05,7.495356929451458e-05,-inf
63,8.5447147260656e-06,1.1380501329199152e-05,-inf
64,5.7153947803611494e-05,6.970678941269565e-05,-inf
65,0.0110122099642104,0.014432169742741877,-inf
