Variable,MAE,RMSE,R2
ptend_t,5.5566027606865624,8.114461730049012,-2.692553582231558
ptend_q0001,6.677181630401119,10.19215369522852,-inf
cam_out_NETSW,241.95670427272572,339.15802070376367,-4.18300212194725
cam_out_FLWDS,77.66041196511505,95.75294335025664,-19.478311316735
cam_out_PRECSC,12.095349102258583,17.637648227880536,-inf
cam_out_PRECC,122.65601330852853,205.32932573943637,-59194.22203725551
cam_out_SOLS,104.0886565457226,149.91088906456767,-2.6549432674986453
cam_out_SOLL,110.51058828798274,157.70786174926693,-1.966286226402551
cam_out_SOLSD,44.185413064667365,58.51926901123502,-0.6832740910118478
cam_out_SOLLD,25.360350958010912,34.860564175689156,-0.5091233106832589
