Variable,MAE,RMSE,R2
ptend_t,5.555740360868308,8.507294743998484,-3.3615646133263257
ptend_q0001,6.848589768730136,10.68577000619695,-inf
cam_out_NETSW,228.2300743985011,334.7563670479249,-3.827197790815628
cam_out_FLWDS,78.97274352884958,99.4224446607278,-22.799851961614483
cam_out_PRECSC,12.229893708141782,18.185325804451416,-inf
cam_out_PRECC,111.06402574625713,220.44228495252295,-68846.70202507783
cam_out_SOLS,95.60800442349647,149.73765889781043,-2.5495633405335068
cam_out_SOLL,102.4076556866754,157.6922277446167,-1.9190059814982503
cam_out_SOLSD,44.10078319664442,61.901091226821755,-0.8871330532048823
cam_out_SOLLD,25.411330190371956,38.28633370666191,-0.8288623159573435
