Variable,MAE,RMSE,R2
ptend_t,5.38883526395844,8.211192915556738,-2.120232292663083
ptend_q0001,6.509346618713973,10.142277901746716,-inf
cam_out_NETSW,218.83184786799225,320.18919837798074,-3.178024068806622
cam_out_FLWDS,74.21759916008871,91.20914016896468,-23.08765318931995
cam_out_PRECSC,13.589228765632244,20.70778692069769,-inf
cam_out_PRECC,109.68262334546326,203.8954363594831,-50882.83076791989
cam_out_SOLS,88.99743649770323,138.47588627273296,-1.8266909128900373
cam_out_SOLL,95.68794532533893,147.14310463832553,-1.4181116088149845
cam_out_SOLSD,43.805031922525735,61.82657633157433,-0.8821285768633217
cam_out_SOLLD,25.991730720953722,39.47866194502072,-0.9576177792565753
